Date,Open,High,Low,Close,Price,Change %
1996-01-01,1.1528,1.2185,1.1483,1.211,1.211,4.87%
1996-02-01,1.2108,1.2249,1.1708,1.201,1.201,-0.83%
1996-03-01,1.2001,1.2095,1.1821,1.1902,1.1902,-0.90%
1996-04-01,1.192,1.2481,1.188,1.245,1.245,4.60%
1996-05-01,1.2443,1.276,1.2305,1.2491,1.2491,0.33%
1996-06-01,1.2498,1.2715,1.2406,1.2547,1.2547,0.45%
1996-07-01,1.2555,1.267,1.184,1.1988,1.1988,-4.46%
1996-08-01,1.1983,1.2156,1.1874,1.2022,1.2022,0.28%
1996-09-01,1.2024,1.2597,1.2013,1.2548,1.2548,4.38%
1996-10-01,1.2535,1.2742,1.2455,1.269,1.269,1.13%
1996-11-01,1.2681,1.3075,1.252,1.3055,1.3055,2.88%
1996-12-01,1.3043,1.3545,1.291,1.3417,1.3417,2.77%
1997-01-01,1.343,1.4379,1.339,1.4228,1.4228,6.04%
1997-02-01,1.4237,1.4915,1.4145,1.4795,1.4795,3.99%
1997-03-01,1.4798,1.493,1.4286,1.4473,1.4473,-2.18%
1997-04-01,1.447,1.4828,1.4275,1.4726,1.4726,1.75%
1997-05-01,1.4723,1.4785,1.3768,1.4146,1.4146,-3.94%
1997-06-01,1.4126,1.4638,1.4125,1.4617,1.4617,3.33%
1997-07-01,1.4612,1.5268,1.4456,1.513,1.513,3.51%
1997-08-01,1.5122,1.5398,1.477,1.493,1.493,-1.32%
1997-09-01,1.493,1.5105,1.4399,1.4489,1.4489,-2.95%
1997-10-01,1.448,1.4922,1.3895,1.4005,1.4005,-3.34%
1997-11-01,1.4,1.4302,1.3824,1.4265,1.4265,1.86%
1997-12-01,1.4239,1.4638,1.421,1.4625,1.4625,2.52%
1998-01-01,1.46,1.5065,1.4213,1.4766,1.4766,0.96%
1998-02-01,1.4801,1.488,1.4404,1.466,1.466,-0.72%
1998-03-01,1.465,1.5375,1.4555,1.5225,1.5225,3.85%
1998-04-01,1.5228,1.5374,1.476,1.5005,1.5005,-1.44%
1998-05-01,1.5007,1.5021,1.4532,1.4844,1.4844,-1.07%
1998-06-01,1.4842,1.5323,1.4638,1.5209,1.5209,2.46%
1998-07-01,1.5205,1.548,1.4758,1.4881,1.4881,-2.16%
1998-08-01,1.488,1.5162,1.4285,1.436,1.436,-3.50%
1998-09-01,1.4327,1.4498,1.367,1.3785,1.3785,-4.00%
1998-10-01,1.3786,1.3828,1.2734,1.3515,1.3515,-1.96%
1998-11-01,1.348,1.4158,1.3423,1.3935,1.3935,3.11%
1998-12-01,1.3932,1.3945,1.321,1.3774,1.3774,-1.16%
1999-01-01,1.3615,1.422,1.3396,1.416,1.416,2.80%
1999-02-01,1.4143,1.4599,1.4029,1.4463,1.4463,2.14%
1999-03-01,1.4491,1.4938,1.4435,1.4825,1.4825,2.50%
1999-04-01,1.4821,1.5275,1.4646,1.5255,1.5255,2.90%
1999-05-01,1.5225,1.5318,1.4836,1.5272,1.5272,0.11%
1999-06-01,1.5269,1.5579,1.5116,1.548,1.548,1.36%
1999-07-01,1.548,1.5901,1.4852,1.4895,1.4895,-3.78%
1999-08-01,1.4909,1.5395,1.476,1.5153,1.5153,1.73%
1999-09-01,1.5153,1.5596,1.4871,1.4973,1.4973,-1.19%
1999-10-01,1.4972,1.5372,1.453,1.52,1.52,1.52%
1999-11-01,1.5203,1.6027,1.5134,1.5897,1.5897,4.59%
1999-12-01,1.5899,1.6031,1.552,1.5907,1.5907,0.06%
2000-01-01,1.592,1.6633,1.5419,1.6563,1.6563,4.12%
2000-02-01,1.6562,1.6996,1.5946,1.6689,1.6689,0.76%
2000-03-01,1.6684,1.6871,1.6205,1.6629,1.6629,-0.36%
2000-04-01,1.6624,1.7396,1.6197,1.7227,1.7227,3.60%
2000-05-01,1.7183,1.7547,1.6698,1.6824,1.6824,-2.34%
2000-06-01,1.6823,1.6937,1.6102,1.6344,1.6344,-2.85%
2000-07-01,1.6355,1.6869,1.6188,1.6703,1.6703,2.20%
2000-08-01,1.6692,1.7513,1.6637,1.7408,1.7408,4.22%
2000-09-01,1.7399,1.7936,1.7148,1.7247,1.7247,-0.92%
2000-10-01,1.7238,1.8309,1.7207,1.7966,1.7966,4.17%
2000-11-01,1.7976,1.818,1.726,1.7308,1.7308,-3.66%
2000-12-01,1.7296,1.738,1.609,1.6115,1.6115,-6.89%
2001-01-01,1.6134,1.6724,1.5891,1.6335,1.6335,1.37%
2001-02-01,1.633,1.6995,1.6242,1.6699,1.6699,2.23%
2001-03-01,1.6691,1.7446,1.6394,1.743,1.743,4.38%
2001-04-01,1.7454,1.7596,1.6835,1.7315,1.7315,-0.66%
2001-05-01,1.7313,1.8008,1.7151,1.7981,1.7981,3.85%
2001-06-01,1.7983,1.808,1.758,1.7935,1.7935,-0.26%
2001-07-01,1.7915,1.8228,1.71,1.7262,1.7262,-3.75%
2001-08-01,1.726,1.727,1.645,1.6629,1.6629,-3.67%
2001-09-01,1.6667,1.7133,1.5668,1.6212,1.6212,-2.51%
2001-10-01,1.6246,1.669,1.5989,1.6341,1.6341,0.80%
2001-11-01,1.6345,1.6776,1.613,1.6413,1.6413,0.44%
2001-12-01,1.6428,1.6962,1.6248,1.6615,1.6615,1.23%
2002-01-01,1.6612,1.723,1.6353,1.7192,1.7192,3.47%
2002-02-01,1.7193,1.7237,1.6775,1.6961,1.6961,-1.34%
2002-03-01,1.6963,1.7144,1.6486,1.6814,1.6814,-0.87%
2002-04-01,1.6822,1.6824,1.6141,1.6168,1.6168,-3.84%
2002-05-01,1.6173,1.6197,1.5549,1.5715,1.5715,-2.80%
2002-06-01,1.5703,1.578,1.4732,1.481,1.481,-5.76%
2002-07-01,1.4818,1.5091,1.4351,1.4856,1.4856,0.31%
2002-08-01,1.4855,1.5243,1.462,1.4979,1.4979,0.83%
2002-09-01,1.4981,1.5311,1.4605,1.4758,1.4758,-1.48%
2002-10-01,1.4756,1.5176,1.4723,1.4764,1.4764,0.04%
2002-11-01,1.4764,1.493,1.4381,1.4828,1.4828,0.43%
2002-12-01,1.4827,1.4983,1.3806,1.3821,1.3821,-6.79%
2003-01-01,1.3822,1.4089,1.3456,1.3636,1.3636,-1.34%
2003-02-01,1.3615,1.3799,1.3401,1.3518,1.3518,-0.87%
2003-03-01,1.3561,1.4055,1.3226,1.351,1.351,-0.06%
2003-04-01,1.3512,1.4084,1.3487,1.3548,1.3548,0.28%
2003-05-01,1.355,1.3595,1.2776,1.298,1.298,-4.19%
2003-06-01,1.3054,1.3615,1.2937,1.35,1.35,4.01%
2003-07-01,1.3499,1.3953,1.3367,1.3699,1.3699,1.47%
2003-08-01,1.3698,1.4275,1.3405,1.4003,1.4003,2.22%
2003-09-01,1.4003,1.4243,1.3094,1.3198,1.3198,-5.75%
2003-10-01,1.3199,1.3449,1.3029,1.3395,1.3395,1.49%
2003-11-01,1.3397,1.3808,1.2876,1.2909,1.2909,-3.63%
2003-12-01,1.2926,1.304,1.2306,1.2392,1.2392,-4.00%
2004-01-01,1.2389,1.2727,1.2138,1.2564,1.2564,1.39%
2004-02-01,1.2557,1.2763,1.2181,1.2621,1.2621,0.45%
2004-03-01,1.2616,1.3075,1.2515,1.2658,1.2658,0.29%
2004-04-01,1.2652,1.3225,1.2593,1.2973,1.2973,2.49%
2004-05-01,1.2945,1.3085,1.2423,1.2543,1.2543,-3.31%
2004-06-01,1.254,1.2704,1.232,1.2494,1.2494,-0.39%
2004-07-01,1.2498,1.2844,1.2202,1.2817,1.2817,2.59%
2004-08-01,1.274,1.2858,1.2369,1.2664,1.2664,-1.19%
2004-09-01,1.2662,1.279,1.2443,1.2459,1.2459,-1.62%
2004-10-01,1.2453,1.2684,1.1919,1.1948,1.1948,-4.10%
2004-11-01,1.193,1.2125,1.1321,1.1399,1.1399,-4.59%
2004-12-01,1.1407,1.1684,1.128,1.1382,1.1382,-0.15%
2005-01-01,1.1403,1.1974,1.1364,1.189,1.189,4.46%
2005-02-01,1.189,1.2262,1.1567,1.1613,1.1613,-2.33%
2005-03-01,1.1626,1.2085,1.1474,1.1965,1.1965,3.03%
2005-04-01,1.1964,1.2197,1.1737,1.1957,1.1957,-0.07%
2005-05-01,1.1962,1.2496,1.1872,1.2477,1.2477,4.35%
2005-06-01,1.2476,1.2878,1.2407,1.2818,1.2818,2.73%
2005-07-01,1.2815,1.3081,1.2697,1.2888,1.2888,0.55%
2005-08-01,1.2884,1.2903,1.2431,1.2529,1.2529,-2.79%
2005-09-01,1.2531,1.2998,1.2238,1.2933,1.2933,3.22%
2005-10-01,1.2929,1.3074,1.267,1.289,1.289,-0.33%
2005-11-01,1.2883,1.3285,1.2759,1.3151,1.3151,2.02%
2005-12-01,1.3149,1.3232,1.2774,1.3136,1.3136,-0.11%
2006-01-01,1.314,1.3159,1.2557,1.278,1.278,-2.71%
2006-02-01,1.2782,1.3238,1.2771,1.312,1.312,2.66%
2006-03-01,1.3118,1.3229,1.287,1.3038,1.3038,-0.63%
2006-04-01,1.3036,1.3136,1.2374,1.2387,1.2387,-4.99%
2006-05-01,1.2381,1.2449,1.1918,1.2187,1.2187,-1.61%
2006-06-01,1.2185,1.2529,1.2015,1.2226,1.2226,0.32%
2006-07-01,1.2229,1.2595,1.2184,1.2315,1.2315,0.73%
2006-08-01,1.2306,1.2444,1.2181,1.2311,1.2311,-0.03%
2006-09-01,1.2317,1.2623,1.2271,1.2507,1.2507,1.59%
2006-10-01,1.2499,1.277,1.2402,1.244,1.244,-0.54%
2006-11-01,1.2439,1.258,1.1957,1.1989,1.1989,-3.63%
2006-12-01,1.1981,1.2272,1.1879,1.2186,1.2186,1.64%
2007-01-01,1.2184,1.2572,1.2111,1.2437,1.2437,2.06%
2007-02-01,1.2441,1.2552,1.2142,1.2188,1.2188,-2.00%
2007-03-01,1.2198,1.2355,1.2029,1.2156,1.2156,-0.26%
2007-04-01,1.2133,1.2284,1.1995,1.2074,1.2074,-0.67%
2007-05-01,1.208,1.2332,1.205,1.225,1.225,1.46%
2007-06-01,1.2251,1.247,1.2146,1.2215,1.2215,-0.29%
2007-07-01,1.221,1.2231,1.196,1.2011,1.2011,-1.67%
2007-08-01,1.2007,1.2213,1.1817,1.2087,1.2087,0.63%
2007-09-01,1.2078,1.2153,1.1624,1.1643,1.1643,-3.67%
